No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=2777156605 TSER=0
      2 0.000057    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=2777156605 TSER=0
      3 0.000141    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=2777156758 TSER=2777156605
      4 0.000160    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=2777156758 TSER=2777156605
      5 0.000209    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=2777156832 TSER=2777156758
      6 0.000222    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=2777156832 TSER=2777156758
      7 0.000396    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=2777157015 TSER=2777156758
      8 0.000420    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=2777157015 TSER=2777156758
      9 0.000491    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=2777157117 TSER=2777157015
     10 0.000505    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=2777157117 TSER=2777157015
     11 0.000584    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=2777157195 TSER=2777157117
     12 0.000591    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=2777157197 TSER=2777157117
     13 0.000631    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=2777157195 TSER=2777157117
     14 0.000653    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=2777157197 TSER=2777157117
     15 0.000696    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=2777157311 TSER=2777157195
     16 0.000701    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=2777157322 TSER=2777157197
     17 0.000723    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=2777157311 TSER=2777157195
     18 0.000789    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=2777157409 TSER=2777157311
     19 0.000795    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=2777157411 TSER=2777157311
     20 0.000807    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=2777157322 TSER=2777157197
     21 0.000877    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=2777157490 TSER=2777157322
     22 0.000883    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=2777157493 TSER=2777157322
     23 0.000902    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=2777157409 TSER=2777157311
     24 0.000943    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=2777157411 TSER=2777157311
     25 0.000948    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=2777157559 TSER=2777157409
     26 0.000968    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=2777157490 TSER=2777157322
     27 0.001000    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=2777157598 TSER=2777157411
     28 0.001008    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=2777157493 TSER=2777157322
     29 0.001015    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=8690 Win=64087 Len=0 TSV=2777157625 TSER=2777157490
     30 0.001038    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=2777157559 TSER=2777157409
     31 0.001053    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=10138 Win=64087 Len=0 TSV=2777157666 TSER=2777157493
     32 0.001117    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=2777157724 TSER=2777157559
     33 0.001123    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=2777157726 TSER=2777157559
     34 0.001126    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=2777157598 TSER=2777157411
     35 0.001155    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=8690 Win=64087 Len=0 TSV=2777157625 TSER=2777157490
     36 0.001172    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=10138 Win=64087 Len=0 TSV=2777157666 TSER=2777157493
     37 0.001200    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=2777157724 TSER=2777157559
     38 0.001219    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=2777157726 TSER=2777157559
     39 0.001309    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=2777157825 TSER=2777157598
     40 0.001315    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=2777157828 TSER=2777157598
     41 0.001322    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=2777157825 TSER=2777157598
     42 0.001349    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=2777157886 TSER=2777157625
     43 0.001354    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=2777157889 TSER=2777157625
     44 0.001360    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=2777157922 TSER=2777157666
     45 0.001365    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=2777157924 TSER=2777157666
     46 0.001375    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=2777157828 TSER=2777157598
     47 0.001411    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=2777157935 TSER=2777157724
     48 0.001417    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=13034 Win=64087 Len=0 TSV=2777158016 TSER=2777157726
     49 0.001421    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=14482 Win=62639 Len=0 TSV=2777158031 TSER=2777157825
     50 0.001432    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=15930 Win=64087 Len=0 TSV=2777158040 TSER=2777157828
     51 0.001436    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=2777157886 TSER=2777157625
     52 0.001477    127.0.0.1             127.0.0.1             TCP      56255 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=2777157889 TSER=2777157625
     53 0.001480    127.0.0.1             127.0.0.1             TCP      commplex-main > 56255 [ACK] Seq=2 Ack=17378 Win=64087 Len=0 TSV=2777158097 TSER=2777157886
