No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=2176853388 TSER=0
      2 0.019187    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=2176853388 TSER=0
      3 0.039482    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=2176892884 TSER=2176853388
      4 0.058648    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=2176892884 TSER=2176853388
      5 0.078879    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=2176932270 TSER=2176892884
      6 0.098047    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=2176932270 TSER=2176892884
      7 0.099011    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=2176932506 TSER=2176892884
      8 0.118165    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=2176932506 TSER=2176892884
      9 0.138368    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=2176991775 TSER=2176932506
     10 0.157479    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=2176991775 TSER=2176932506
     11 0.177754    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=2177031153 TSER=2176991775
     12 0.196924    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=2177031153 TSER=2176991775
     13 0.197893    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=2177031156 TSER=2176991775
     14 0.217066    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=2177031156 TSER=2176991775
     15 0.217965    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=2177070543 TSER=2177031153
     16 0.237127    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=2177070543 TSER=2177031153
     17 0.238100    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=4346 Win=65535 Len=0 TSV=2177090667 TSER=2177031156
     18 0.257262    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=4346 Win=65535 Len=0 TSV=2177090667 TSER=2177031156
     19 0.258235    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=2177110823 TSER=2177070543
     20 0.277400    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=2177110823 TSER=2177070543
     21 0.278369    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=2177110827 TSER=2177070543
     22 0.313073    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=2177130917 TSER=2177090667
     23 0.313077    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=2177110827 TSER=2177070543
     24 0.332224    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=2177130917 TSER=2177090667
     25 0.333204    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=2177130921 TSER=2177090667
     26 0.352364    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=2177130921 TSER=2177090667
     27 0.353338    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=2177151006 TSER=2177110823
     28 0.373040    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=2177151006 TSER=2177110823
     29 0.373470    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=7242 Win=65535 Len=0 TSV=2177186679 TSER=2177110827
     30 0.392616    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=7242 Win=65535 Len=0 TSV=2177186679 TSER=2177110827
     31 0.393607    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=8690 Win=65535 Len=0 TSV=2177205829 TSER=2177130917
     32 0.412789    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=8690 Win=65535 Len=0 TSV=2177205829 TSER=2177130917
     33 0.413747    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=2177225971 TSER=2177130921
     34 0.432908    127.0.0.1             127.0.0.1             TCP      commplex-main > 35583 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=2177225971 TSER=2177130921
     35 0.433823    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=2177246691 TSER=2177151006
     36 0.452987    127.0.0.1             127.0.0.1             TCP      35583 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=2177246691 TSER=2177151006
