No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3229367696 TSER=0
      2 0.000004    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3229367696 TSER=0
      3 0.000096    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3229367815 TSER=3229367696
      4 0.000099    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3229367815 TSER=3229367696
      5 0.000148    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3229367876 TSER=3229367815
      6 0.000152    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3229367876 TSER=3229367815
      7 0.000323    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3229368047 TSER=3229367815
      8 0.000327    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3229368047 TSER=3229367815
      9 0.000383    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3229368097 TSER=3229368047
     10 0.000387    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3229368097 TSER=3229368047
     11 0.000502    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3229368183 TSER=3229368097
     12 0.000510    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3229368186 TSER=3229368097
     13 0.000520    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3229368183 TSER=3229368097
     14 0.000529    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3229368186 TSER=3229368097
     15 0.000608    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3229368316 TSER=3229368183
     16 0.000615    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=3229368321 TSER=3229368186
     17 0.000623    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3229368316 TSER=3229368183
     18 0.000631    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=3229368321 TSER=3229368186
     19 0.000742    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=3229368423 TSER=3229368316
     20 0.000749    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=3229368427 TSER=3229368316
     21 0.000756    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=3229368461 TSER=3229368321
     22 0.000762    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=3229368465 TSER=3229368321
     23 0.000770    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=3229368423 TSER=3229368316
     24 0.000780    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=3229368427 TSER=3229368316
     25 0.000788    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=3229368461 TSER=3229368321
     26 0.000795    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=3229368465 TSER=3229368321
     27 0.000854    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=3229368559 TSER=3229368423
     28 0.000861    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=3229368565 TSER=3229368427
     29 0.000867    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=8690 Win=62639 Len=0 TSV=3229368572 TSER=3229368461
     30 0.000873    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=10138 Win=61191 Len=0 TSV=3229368582 TSER=3229368465
     31 0.000881    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=3229368559 TSER=3229368423
     32 0.000889    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=3229368565 TSER=3229368427
     33 0.000898    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=8690 Win=62639 Len=0 TSV=3229368572 TSER=3229368461
     34 0.000905    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=10138 Win=61191 Len=0 TSV=3229368582 TSER=3229368465
     35 0.001010    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=3229368682 TSER=3229368559
     36 0.001018    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=3229368684 TSER=3229368559
     37 0.001025    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=3229368717 TSER=3229368565
     38 0.001032    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=3229368720 TSER=3229368565
     39 0.001058    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=3229368784 TSER=3229368572
     40 0.001066    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=3229368789 TSER=3229368572
     41 0.001095    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=3229368821 TSER=3229368582
     42 0.001101    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=3229368682 TSER=3229368559
     43 0.001106    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=3229368826 TSER=3229368582
     44 0.001110    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=3229368684 TSER=3229368559
     45 0.001123    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=3229368717 TSER=3229368565
     46 0.001130    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=3229368720 TSER=3229368565
     47 0.001141    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=3229368784 TSER=3229368572
     48 0.001147    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=3229368789 TSER=3229368572
     49 0.001155    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=3229368821 TSER=3229368582
     50 0.001161    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=3229368826 TSER=3229368582
     51 0.001257    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=3229368930 TSER=3229368682
     52 0.001264    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=13034 Win=64087 Len=0 TSV=3229368936 TSER=3229368684
     53 0.001269    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=3229368930 TSER=3229368682
     54 0.001273    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=14482 Win=62639 Len=0 TSV=3229368944 TSER=3229368717
     55 0.001277    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=13034 Win=64087 Len=0 TSV=3229368936 TSER=3229368684
     56 0.001279    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=15930 Win=61191 Len=0 TSV=3229368949 TSER=3229368720
     57 0.001286    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=17378 Win=59743 Len=0 TSV=3229368958 TSER=3229368784
     58 0.001287    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=14482 Win=62639 Len=0 TSV=3229368944 TSER=3229368717
     59 0.001291    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=18826 Win=58295 Len=0 TSV=3229368965 TSER=3229368789
     60 0.001293    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=15930 Win=61191 Len=0 TSV=3229368949 TSER=3229368720
     61 0.001297    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=20274 Win=56847 Len=0 TSV=3229368975 TSER=3229368821
     62 0.001322    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=21722 Win=55399 Len=0 TSV=3229368980 TSER=3229368826
     63 0.001472    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=21722 Ack=2 Win=65535 Len=1448 TSV=3229369086 TSER=3229368930
     64 0.001479    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=17378 Win=59743 Len=0 TSV=3229368958 TSER=3229368784
     65 0.001480    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=23170 Ack=2 Win=65535 Len=1448 TSV=3229369089 TSER=3229368930
     66 0.001487    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=24618 Ack=2 Win=65535 Len=1448 TSV=3229369121 TSER=3229368936
     67 0.001488    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=18826 Win=58295 Len=0 TSV=3229368965 TSER=3229368789
     68 0.001500    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=26066 Ack=2 Win=65535 Len=1448 TSV=3229369124 TSER=3229368936
     69 0.001511    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=27514 Ack=2 Win=65535 Len=1448 TSV=3229369155 TSER=3229368944
     70 0.001520    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=28962 Ack=2 Win=65535 Len=1448 TSV=3229369158 TSER=3229368944
     71 0.001526    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=30410 Ack=2 Win=65535 Len=1448 TSV=3229369188 TSER=3229368949
     72 0.001533    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=31858 Ack=2 Win=65535 Len=1448 TSV=3229369191 TSER=3229368949
     73 0.001536    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=20274 Win=56847 Len=0 TSV=3229368975 TSER=3229368821
     74 0.001551    127.0.0.1             127.0.0.1             TCP      commplex-main > 59394 [ACK] Seq=2 Ack=21722 Win=55399 Len=0 TSV=3229368980 TSER=3229368826
     75 0.001565    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=21722 Ack=2 Win=65535 Len=1448 TSV=3229369086 TSER=3229368930
     76 0.001571    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=23170 Ack=2 Win=65535 Len=1448 TSV=3229369089 TSER=3229368930
     77 0.001580    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=24618 Ack=2 Win=65535 Len=1448 TSV=3229369121 TSER=3229368936
     78 0.001593    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=26066 Ack=2 Win=65535 Len=1448 TSV=3229369124 TSER=3229368936
     79 0.001602    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=27514 Ack=2 Win=65535 Len=1448 TSV=3229369155 TSER=3229368944
     80 0.001608    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=28962 Ack=2 Win=65535 Len=1448 TSV=3229369158 TSER=3229368944
     81 0.001619    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=30410 Ack=2 Win=65535 Len=1448 TSV=3229369188 TSER=3229368949
     82 0.001624    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=31858 Ack=2 Win=65535 Len=1448 TSV=3229369191 TSER=3229368949
     83 0.001638    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=33306 Ack=2 Win=65535 Len=1448 TSV=3229369290 TSER=3229368958
     84 0.001645    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=34754 Ack=2 Win=65535 Len=1448 TSV=3229369293 TSER=3229368958
     85 0.001651    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=36202 Ack=2 Win=65535 Len=1448 TSV=3229369332 TSER=3229368965
     86 0.001658    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=37650 Ack=2 Win=65535 Len=1448 TSV=3229369334 TSER=3229368965
     87 0.001666    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=33306 Ack=2 Win=65535 Len=1448 TSV=3229369290 TSER=3229368958
     88 0.001672    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=34754 Ack=2 Win=65535 Len=1448 TSV=3229369293 TSER=3229368958
     89 0.001679    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=36202 Ack=2 Win=65535 Len=1448 TSV=3229369332 TSER=3229368965
     90 0.001685    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=37650 Ack=2 Win=65535 Len=1448 TSV=3229369334 TSER=3229368965
     91 0.001757    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=39098 Ack=2 Win=65535 Len=1448 TSV=3229369482 TSER=3229368975
     92 0.001765    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=40546 Ack=2 Win=65535 Len=1448 TSV=3229369486 TSER=3229368975
     93 0.001776    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=39098 Ack=2 Win=65535 Len=1448 TSV=3229369482 TSER=3229368975
     94 0.001805    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=40546 Ack=2 Win=65535 Len=1448 TSV=3229369486 TSER=3229368975
     95 0.001817    127.0.0.1             127.0.0.1             TCP      59394 > commplex-main [ACK] Seq=41994 Ack=2 Win=65535 Len=1448 TSV=3229369528 TSER=3229368980
