No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3885388710 TSER=0
      2 0.000059    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3885388710 TSER=0
      3 0.000151    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3885388882 TSER=3885388710
      4 0.000165    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3885388882 TSER=3885388710
      5 0.000212    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3885388946 TSER=3885388882
      6 0.000226    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3885388946 TSER=3885388882
      7 0.000537    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3885389267 TSER=3885388882
      8 0.000553    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3885389267 TSER=3885388882
      9 0.000595    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3885389330 TSER=3885389267
     10 0.000608    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3885389330 TSER=3885389267
     11 0.000680    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3885389413 TSER=3885389330
     12 0.000686    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3885389415 TSER=3885389330
     13 0.000707    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3885389413 TSER=3885389330
     14 0.000785    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3885389496 TSER=3885389413
     15 0.000797    127.0.0.1             127.0.0.1             TCP      29810 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3885389415 TSER=3885389330
     16 0.000827    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3885389496 TSER=3885389413
     17 0.000845    127.0.0.1             127.0.0.1             TCP      commplex-main > 29810 [ACK] Seq=2 Ack=4346 Win=65535 Len=0 TSV=3885389579 TSER=3885389415
