No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3746905017 TSER=0
      2 0.000054    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=3746905017 TSER=0
      3 0.000136    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3746905174 TSER=3746905017
      4 0.000151    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=3746905174 TSER=3746905017
      5 0.000203    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3746905236 TSER=3746905174
      6 0.000216    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=3746905236 TSER=3746905174
      7 0.000392    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3746905433 TSER=3746905174
      8 0.000406    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=3746905433 TSER=3746905174
      9 0.000504    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3746905490 TSER=3746905433
     10 0.000517    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=3746905490 TSER=3746905433
     11 0.000604    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3746905633 TSER=3746905490
     12 0.000609    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3746905636 TSER=3746905490
     13 0.000621    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=3746905633 TSER=3746905490
     14 0.000650    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=3746905636 TSER=3746905490
     15 0.000674    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3746905710 TSER=3746905633
     16 0.000685    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=3746905710 TSER=3746905633
     17 0.000710    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=3746905755 TSER=3746905636
     18 0.000792    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=3746905807 TSER=3746905710
     19 0.000798    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=3746905810 TSER=3746905710
     20 0.000843    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=4346 Win=64087 Len=0 TSV=3746905755 TSER=3746905636
     21 0.000855    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=3746905807 TSER=3746905710
     22 0.000862    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=3746905810 TSER=3746905710
     23 0.000951    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=3746905967 TSER=3746905755
     24 0.000957    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=3746905970 TSER=3746905755
     25 0.000962    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=3746905981 TSER=3746905807
     26 0.000966    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=3746905986 TSER=3746905810
     27 0.001021    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=3746905967 TSER=3746905755
     28 0.001051    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=8690 Win=64087 Len=0 TSV=3746906096 TSER=3746905967
     29 0.001078    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=3746905970 TSER=3746905755
     30 0.001103    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=3746905981 TSER=3746905807
     31 0.001127    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=3746906163 TSER=3746905970
     32 0.001139    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=7242 Win=64087 Len=0 TSV=3746905986 TSER=3746905810
     33 0.001162    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=8690 Win=64087 Len=0 TSV=3746906096 TSER=3746905967
     34 0.001186    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=3746906163 TSER=3746905970
     35 0.001231    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=3746906232 TSER=3746905981
     36 0.001236    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=3746906234 TSER=3746905981
     37 0.001242    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=3746906269 TSER=3746905986
     38 0.001249    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=3746906271 TSER=3746905986
     39 0.001272    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=3746906232 TSER=3746905981
     40 0.001355    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=3746906347 TSER=3746906096
     41 0.001361    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=3746906351 TSER=3746906096
     42 0.001367    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=3746906388 TSER=3746906163
     43 0.001381    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=3746906390 TSER=3746906163
     44 0.001391    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=3746906398 TSER=3746906232
     45 0.001401    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=3746906234 TSER=3746905981
     46 0.001458    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=13034 Win=64087 Len=0 TSV=3746906504 TSER=3746906234
     47 0.001483    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=3746906269 TSER=3746905986
     48 0.001512    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=14482 Win=65535 Len=0 TSV=3746906558 TSER=3746906269
     49 0.001534    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=3746906271 TSER=3746905986
     50 0.001562    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=15930 Win=65535 Len=0 TSV=3746906609 TSER=3746906271
     51 0.001585    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=3746906347 TSER=3746906096
     52 0.001618    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=17378 Win=65535 Len=0 TSV=3746906659 TSER=3746906347
     53 0.001652    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=3746906351 TSER=3746906096
     54 0.001682    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=18826 Win=65535 Len=0 TSV=3746906728 TSER=3746906351
     55 0.001705    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=3746906388 TSER=3746906163
     56 0.001733    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=65535 Len=0 TSV=3746906780 TSER=3746906388
     57 0.001771    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=3746906398 TSER=3746906232
     58 0.001837    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=21722 Ack=2 Win=65535 Len=1448 TSV=3746906878 TSER=3746906398
     59 0.001843    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=23170 Ack=2 Win=65535 Len=1448 TSV=3746906882 TSER=3746906398
     60 0.001854    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=13034 Win=64087 Len=0 TSV=3746906504 TSER=3746906234
     61 0.001941    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=24618 Ack=2 Win=65535 Len=1448 TSV=3746906981 TSER=3746906504
     62 0.001948    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=26066 Ack=2 Win=65535 Len=1448 TSV=3746906985 TSER=3746906504
     63 0.001965    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=14482 Win=65535 Len=0 TSV=3746906558 TSER=3746906269
     64 0.002049    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=27514 Ack=2 Win=65535 Len=1448 TSV=3746907090 TSER=3746906558
     65 0.002056    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=28962 Ack=2 Win=65535 Len=1448 TSV=3746907094 TSER=3746906558
     66 0.002070    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=15930 Win=65535 Len=0 TSV=3746906609 TSER=3746906271
     67 0.002149    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=30410 Ack=2 Win=65535 Len=1448 TSV=3746907189 TSER=3746906609
     68 0.002155    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=31858 Ack=2 Win=65535 Len=1448 TSV=3746907194 TSER=3746906609
     69 0.002172    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=17378 Win=65535 Len=0 TSV=3746906659 TSER=3746906347
     70 0.002255    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=18826 Win=65535 Len=0 TSV=3746906728 TSER=3746906351
     71 0.002276    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=65535 Len=0 TSV=3746906780 TSER=3746906388
     72 0.002289    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=33306 Ack=2 Win=65535 Len=1448 TSV=3746907293 TSER=3746906659
     73 0.002296    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=34754 Ack=2 Win=65535 Len=1448 TSV=3746907295 TSER=3746906659
     74 0.002403    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=36202 Ack=2 Win=65535 Len=1448 TSV=3746907392 TSER=3746906728
     75 0.002409    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=37650 Ack=2 Win=65535 Len=1448 TSV=3746907395 TSER=3746906728
     76 0.002415    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=39098 Ack=2 Win=65535 Len=1448 TSV=3746907427 TSER=3746906780
     77 0.002421    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=40546 Ack=2 Win=65535 Len=1448 TSV=3746907429 TSER=3746906780
     78 0.002443    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=21722 Ack=2 Win=65535 Len=1448 TSV=3746906878 TSER=3746906398
     79 0.002473    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=64087 Len=0 TSV=3746907520 TSER=3746906878
     80 0.002492    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=23170 Ack=2 Win=65535 Len=1448 TSV=3746906882 TSER=3746906398
     81 0.002521    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=62639 Len=0 TSV=3746907568 TSER=3746906882
     82 0.002536    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=24618 Ack=2 Win=65535 Len=1448 TSV=3746906981 TSER=3746906504
     83 0.002564    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=61191 Len=0 TSV=3746907612 TSER=3746906981
     84 0.002579    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=26066 Ack=2 Win=65535 Len=1448 TSV=3746906985 TSER=3746906504
     85 0.002608    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=59743 Len=0 TSV=3746907655 TSER=3746906985
     86 0.002622    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=27514 Ack=2 Win=65535 Len=1448 TSV=3746907090 TSER=3746906558
     87 0.002658    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=58295 Len=0 TSV=3746907705 TSER=3746907090
     88 0.002674    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=28962 Ack=2 Win=65535 Len=1448 TSV=3746907094 TSER=3746906558
     89 0.002703    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=56847 Len=0 TSV=3746907750 TSER=3746907094
     90 0.002718    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=30410 Ack=2 Win=65535 Len=1448 TSV=3746907189 TSER=3746906609
     91 0.002748    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=55399 Len=0 TSV=3746907795 TSER=3746907189
     92 0.002763    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=31858 Ack=2 Win=65535 Len=1448 TSV=3746907194 TSER=3746906609
     93 0.002794    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=53951 Len=0 TSV=3746907841 TSER=3746907194
     94 0.002809    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=33306 Ack=2 Win=65535 Len=1448 TSV=3746907293 TSER=3746906659
     95 0.002838    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=52503 Len=0 TSV=3746907886 TSER=3746907293
     96 0.002853    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=34754 Ack=2 Win=65535 Len=1448 TSV=3746907295 TSER=3746906659
     97 0.002885    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=51055 Len=0 TSV=3746907933 TSER=3746907295
     98 0.002901    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=36202 Ack=2 Win=65535 Len=1448 TSV=3746907392 TSER=3746906728
     99 0.002936    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=49607 Len=0 TSV=3746907978 TSER=3746907392
    100 0.002951    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=37650 Ack=2 Win=65535 Len=1448 TSV=3746907395 TSER=3746906728
    101 0.002981    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=48159 Len=0 TSV=3746908029 TSER=3746907395
    102 0.002997    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=39098 Ack=2 Win=65535 Len=1448 TSV=3746907427 TSER=3746906780
    103 0.003027    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=46711 Len=0 TSV=3746908074 TSER=3746907427
    104 0.003046    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=64087 Len=0 TSV=3746907520 TSER=3746906878
    105 0.003084    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=62639 Len=0 TSV=3746907568 TSER=3746906882
    106 0.003108    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=61191 Len=0 TSV=3746907612 TSER=3746906981
    107 0.003136    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=59743 Len=0 TSV=3746907655 TSER=3746906985
    108 0.003202    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=3746908247 TSER=3746907655
    109 0.003221    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=58295 Len=0 TSV=3746907705 TSER=3746907090
    110 0.003246    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=56847 Len=0 TSV=3746907750 TSER=3746907094
    111 0.003275    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=55399 Len=0 TSV=3746907795 TSER=3746907189
    112 0.003300    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=53951 Len=0 TSV=3746907841 TSER=3746907194
    113 0.003328    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=52503 Len=0 TSV=3746907886 TSER=3746907293
    114 0.003352    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=51055 Len=0 TSV=3746907933 TSER=3746907295
    115 0.003379    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=49607 Len=0 TSV=3746907978 TSER=3746907392
    116 0.003403    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=48159 Len=0 TSV=3746908029 TSER=3746907395
    117 0.003430    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=20274 Win=46711 Len=0 TSV=3746908074 TSER=3746907427
    118 0.003455    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=3746908247 TSER=3746907655
    119 0.003514    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=40546 Win=65535 Len=0 TSV=3746908559 TSER=3746908247
    120 0.003530    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=40546 Win=65535 Len=0 TSV=3746908559 TSER=3746908247
    121 0.003640    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=40546 Ack=2 Win=65535 Len=1448 TSV=3746908670 TSER=3746908559
    122 0.003645    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=41994 Ack=2 Win=65535 Len=1448 TSV=3746908673 TSER=3746908559
    123 0.003668    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=40546 Ack=2 Win=65535 Len=1448 TSV=3746908670 TSER=3746908559
    124 0.003699    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=41994 Win=65535 Len=0 TSV=3746908748 TSER=3746908670
    125 0.003732    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=41994 Ack=2 Win=65535 Len=1448 TSV=3746908673 TSER=3746908559
    126 0.003762    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=43442 Win=65535 Len=0 TSV=3746908810 TSER=3746908673
    127 0.003795    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=41994 Win=65535 Len=0 TSV=3746908748 TSER=3746908670
    128 0.003875    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=43442 Ack=2 Win=65535 Len=1448 TSV=3746908921 TSER=3746908748
    129 0.003890    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=44890 Ack=2 Win=65535 Len=1448 TSV=3746908937 TSER=3746908748
    130 0.003905    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=43442 Win=65535 Len=0 TSV=3746908810 TSER=3746908673
    131 0.003974    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=46338 Ack=2 Win=65535 Len=1448 TSV=3746909020 TSER=3746908810
    132 0.003990    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=47786 Ack=2 Win=65535 Len=1448 TSV=3746909036 TSER=3746908810
    133 0.004010    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=43442 Ack=2 Win=65535 Len=1448 TSV=3746908921 TSER=3746908748
    134 0.004041    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=44890 Win=65535 Len=0 TSV=3746909089 TSER=3746908921
    135 0.004075    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=44890 Ack=2 Win=65535 Len=1448 TSV=3746908937 TSER=3746908748
    136 0.004112    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=46338 Win=65535 Len=0 TSV=3746909155 TSER=3746908937
    137 0.004144    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=46338 Ack=2 Win=65535 Len=1448 TSV=3746909020 TSER=3746908810
    138 0.004175    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=47786 Win=65535 Len=0 TSV=3746909223 TSER=3746909020
    139 0.004194    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=47786 Ack=2 Win=65535 Len=1448 TSV=3746909036 TSER=3746908810
    140 0.004219    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=49234 Win=64087 Len=0 TSV=3746909268 TSER=3746909036
    141 0.004237    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=44890 Win=65535 Len=0 TSV=3746909089 TSER=3746908921
    142 0.004310    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=49234 Ack=2 Win=65535 Len=1448 TSV=3746909352 TSER=3746909089
    143 0.004316    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=50682 Ack=2 Win=65535 Len=1448 TSV=3746909356 TSER=3746909089
    144 0.004329    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=46338 Win=65535 Len=0 TSV=3746909155 TSER=3746908937
    145 0.004396    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=52130 Ack=2 Win=65535 Len=1448 TSV=3746909430 TSER=3746909155
    146 0.004402    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=53578 Ack=2 Win=65535 Len=1448 TSV=3746909433 TSER=3746909155
    147 0.004421    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=47786 Win=65535 Len=0 TSV=3746909223 TSER=3746909020
    148 0.004487    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=55026 Ack=2 Win=65535 Len=1448 TSV=3746909526 TSER=3746909223
    149 0.004492    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=56474 Ack=2 Win=65535 Len=1448 TSV=3746909529 TSER=3746909223
    150 0.004506    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=49234 Win=64087 Len=0 TSV=3746909268 TSER=3746909036
    151 0.004573    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=57922 Ack=2 Win=65535 Len=1448 TSV=3746909607 TSER=3746909268
    152 0.004579    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=59370 Ack=2 Win=65535 Len=1448 TSV=3746909610 TSER=3746909268
    153 0.004597    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=49234 Ack=2 Win=65535 Len=1448 TSV=3746909352 TSER=3746909089
    154 0.004623    127.0.0.1             127.0.0.1             TCP      commplex-main > 40731 [ACK] Seq=2 Ack=50682 Win=62639 Len=0 TSV=3746909671 TSER=3746909352
    155 0.004641    127.0.0.1             127.0.0.1             TCP      40731 > commplex-main [ACK] Seq=50682 Ack=2 Win=65535 Len=1448 TSV=3746909356 TSER=3746909089
