No.     Time        Source                Destination           Protocol Info
      1 0.000000    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=1322146316 TSER=0
      2 0.019135    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [SYN] Seq=1 Win=65535 Len=0 TSV=1322146316 TSER=0
      3 0.039376    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=1322185719 TSER=1322146316
      4 0.058473    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [SYN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSV=1322185719 TSER=1322146316
      5 0.078613    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=1322224963 TSER=1322185719
      6 0.097930    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=0 TSV=1322224963 TSER=1322185719
      7 0.098749    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=1322225176 TSER=1322185719
      8 0.117920    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2 Ack=2 Win=65535 Len=1448 TSV=1322225176 TSER=1322185719
      9 0.138138    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=1322284420 TSER=1322225176
     10 0.157299    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=1450 Win=65535 Len=0 TSV=1322284420 TSER=1322225176
     11 0.177610    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=1322323883 TSER=1322284420
     12 0.196718    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=1450 Ack=2 Win=65535 Len=1448 TSV=1322323883 TSER=1322284420
     13 0.197688    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=1322323887 TSER=1322284420
     14 0.216859    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=2898 Ack=2 Win=65535 Len=1448 TSV=1322323887 TSER=1322284420
     15 0.217760    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=1322363204 TSER=1322323883
     16 0.236916    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=2898 Win=65535 Len=0 TSV=1322363204 TSER=1322323883
     17 0.237840    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=4346 Win=65535 Len=0 TSV=1322383337 TSER=1322323887
     18 0.256960    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=4346 Win=65535 Len=0 TSV=1322383337 TSER=1322323887
     19 0.257975    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=1322403501 TSER=1322363204
     20 0.277142    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=4346 Ack=2 Win=65535 Len=1448 TSV=1322403501 TSER=1322363204
     21 0.278054    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=1322403505 TSER=1322363204
     22 0.297221    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=5794 Ack=2 Win=65535 Len=1448 TSV=1322403505 TSER=1322363204
     23 0.298130    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=1322423503 TSER=1322383337
     24 0.317296    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=7242 Ack=2 Win=65535 Len=1448 TSV=1322423503 TSER=1322383337
     25 0.318263    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=1322423509 TSER=1322383337
     26 0.337426    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=8690 Ack=2 Win=65535 Len=1448 TSV=1322423509 TSER=1322383337
     27 0.338348    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=1322443632 TSER=1322403501
     28 0.357464    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=5794 Win=65535 Len=0 TSV=1322443632 TSER=1322403501
     29 0.358425    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=7242 Win=65535 Len=0 TSV=1322463702 TSER=1322403505
     30 0.377587    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=7242 Win=65535 Len=0 TSV=1322463702 TSER=1322403505
     31 0.378500    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=8690 Win=65535 Len=0 TSV=1322483783 TSER=1322423503
     32 0.397677    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=8690 Win=65535 Len=0 TSV=1322483783 TSER=1322423503
     33 0.398576    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=1322503994 TSER=1322423509
     34 0.417740    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=10138 Win=65535 Len=0 TSV=1322503994 TSER=1322423509
     35 0.418652    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1322524042 TSER=1322443632
     36 0.438723    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=1322524048 TSER=1322443632
     37 0.458860    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=13034 Ack=2 Win=65535 Len=1448 TSV=1322544120 TSER=1322463702
     38 0.478972    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=14482 Ack=2 Win=65535 Len=1448 TSV=1322544124 TSER=1322463702
     39 0.499106    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=15930 Ack=2 Win=65535 Len=1448 TSV=1322564227 TSER=1322483783
     40 0.519242    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=17378 Ack=2 Win=65535 Len=1448 TSV=1322564231 TSER=1322483783
     41 0.539376    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=18826 Ack=2 Win=65535 Len=1448 TSV=1322584271 TSER=1322503994
     42 0.559509    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=20274 Ack=2 Win=65535 Len=1448 TSV=1322584275 TSER=1322503994
     43 1.438249    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1323584542 TSER=1322503994
     44 3.438582    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1325584898 TSER=1322503994
     45 3.457713    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=10138 Ack=2 Win=65535 Len=1448 TSV=1325584898 TSER=1322503994
     46 3.477925    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=1325624208 TSER=1325584898
     47 3.497094    127.0.0.1             127.0.0.1             TCP      commplex-main > 16312 [ACK] Seq=2 Ack=11586 Win=65535 Len=0 TSV=1325624208 TSER=1325584898
     48 3.517396    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=1325663649 TSER=1325624208
     49 3.536552    127.0.0.1             127.0.0.1             TCP      16312 > commplex-main [ACK] Seq=11586 Ack=2 Win=65535 Len=1448 TSV=1325663649 TSER=1325624208
